d_t,tau_t,n_t,v_t
777.9094987413862,0,0,0
776.4086630785976,0,0,9.00151688392529
773.3888296820015,0,0,18.11196387457439
768.9914284077064,0,0,26.374161273869536
761.8594873116032,0,0,42.77502846144393
751.773131587927,0,0,60.49463215396324
736.4737345559045,0,0,91.76073311167211
717.5429197694104,0,0,113.54077808256835
695.9230541539915,0,0,129.6688173066135
672.9799659352224,0,0,137.60506968958094
646.3328275262877,0,0,159.82074003401436
619.0320386470878,0,0,163.74111978654884
589.7986300829789,0,0,175.3323347045041
559.5336133595601,0,0,181.51957991319574
529.3760380572968,0,0,180.87518173520593
498.02050399143644,0,0,188.06014295656206
466.78064079604957,0,0,187.36638725807958
435.60013592452657,0,0,187.01037562555388
405.17490967419104,0,0,182.48046377094443
374.39011305185187,0,0,184.63704816908978
342.7693158036251,0,0,189.651103961792
311.0178189975948,0,0,190.43499676595403
280.2384231303376,0,0,184.60465622288177
250.03058195946286,0,0,181.17665982252012
219.07345547058637,0,0,185.67062582299366
192.69988148195844,0.16673141673141673,1,158.17999094383288
169.29106275099966,0.33346283346283345,1,140.39836756540873
146.1753700945203,0.5001942501942502,1,138.64029413074454
128.11876185708252,0.6669256669256669,1,108.29757577436473
114.49549300843557,0.8336570836570836,1,81.70786955281686
104.27734576065144,1.0003885003885002,1,61.28507421156432
96.9027761110654,1.167119917119917,1,44.230234434255046
91.54033364024716,1.3338513338513336,1,32.16215981332702
89.79625664859009,1.5005827505827503,1,10.46039808122398
89.63415638459499,1.667314167314167,1,0.9722238746176025
90.445214031838,1.8340455840455836,1,-4.864456040396572
92.45545920588232,2.0007770007770005,1,-12.056786977840929
93.52910904142382,2.1675084175084174,1,-6.439397304894354
96.1668756325983,2.3342398342398343,1,-15.820453294795616
101.23295478323038,2.500971250971251,1,-30.38467044751915
108.29750855820376,2.667702667702668,1,-42.37086155366556
118.13752859209606,2.834434084434085,1,-59.01719200133309
127.20593413614799,3.001165501165502,1,-54.3893029989662
138.11134293341178,3.1678969178969187,1,-65.40704212230756
149.38712736973204,3.3346283346283356,1,-67.62843294544861
163.14618572640228,3.5013597513597525,1,-82.52229019821948
176.22981797102986,3.6680911680911694,1,-78.47130733437994
190.85713248129292,3.8348225848225863,1,-87.72980399864184
207.7879264182738,0,1,-101.54531322824569
226.89385514925928,0,1,-114.59105371702516
248.04140650484555,0,1,-126.8360322856988
270.97497113094255,0,1,-137.5479503244435
294.4317596951259,0,1,-140.68607479038738
317.9146907089841,0,1,-140.84286857399073
340.5176384741922,0,1,-135.56501952849482
363.1600498904087,0,1,-135.8017094804067
385.1081898641797,0,1,-131.6376985455997
404.7769679385926,0,1,-117.96683828397391
421.6190937132609,0,1,-101.0135108597971
433.27867739101885,0,1,-69.93033410458011
437.9993686912946,0,1,-28.313148132605292
435.0432338063101,0,1,17.72992122862139
424.0511811325323,0,1,65.92670349274752
408.021502514874,0,1,96.14072099849122
388.1810767375055,0,1,118.99632454589461
365.6666999008403,0,1,135.03380033610017
341.86597135906885,0,1,142.74891324237595
315.8389956394758,0,1,156.10120893724084
289.27092933548545,0,1,159.3464916500299
262.94989055680725,0,1,157.86490209627422
236.58550580038974,0,1,158.1248769623736
209.75679754275097,0,1,160.90973605086336
183.19031370768084,0.16673141673141673,2,159.3370005238148
160.71071751468074,0.33346283346283345,2,134.82519751638588
140.49688986720534,0.5001942501942502,2,121.23586570392624
122.25496872681161,0.6669256669256669,2,109.40902139504495
108.39524703810415,0.8336570836570836,2,83.12603563510606
101.86898174918171,1.0003885003885002,2,39.14238490179341
98.44848791964172,1.167119917119917,2,20.514992894530348
97.38738063915368,1.3338513338513336,2,6.364171199944609
96.98390266230521,1.5005827505827503,2,2.419927718232108
97.30480129256146,1.667314167314167,2,-1.9246440565738094
99.68300136431363,1.8340455840455836,2,-14.263658993452575
99.78928437675877,2.0007770007770005,2,-0.6374504249331433
98.16238498388508,2.1675084175084174,2,9.757605523705385
