d_t,tau_t,n_t,v_t
716.4572911752088,0,0,0
716.8908685327283,0,0,-2.6004403497039648
718.0322401461684,0,0,-6.845534588283178
719.6948274607598,0,0,-9.971598061539954
721.4361735742538,0,0,-10.443964883765263
747.0597202808813,0,0,-153.68077599724646
766.2156487437214,0,0,-114.89033836036369
779.9565886043168,0,0,-82.41319302458636
790.5140194756601,0,0,-63.31965622954415
796.0962572871248,0,0,-33.48024566970543
800.0563840409282,0,0,-23.751409574168946
803.5235339400521,0,0,-20.794712500058402
806.4668891234547,0,0,-17.653181029144722
809.1004054097515,0,0,-15.794879261378405
811.2646515481161,0,0,-12.980366449695957
812.7251761294815,0,0,-8.7596987878819
813.8516675965043,0,0,-6.756288845898187
815.1895395158527,0,0,-8.024072432455926
815.1757517915469,0,0,0.08269378922529509
815.002628937952,0,0,1.038328330888059
810.9263489214068,0,0,24.448054880814087
804.2566163884242,0,0,40.00264612461824
795.7900891979782,0,0,50.77917134293444
787.0336781358175,0,0,52.51779007765826
777.8771547480756,0,0,54.917519255878304
768.6718486082407,0,0,55.2101005789388
761.218379324598,0,0,44.70321601051334
755.9696000979565,0,0,31.48028154821612
752.3493555184567,0,0,21.71291908365842
750.902919983575,0,0,8.675197777094755
751.7319212738834,0,0,-4.972050241755122
751.664421968035,0,0,0.40483645066100943
751.6075919937632,0,0,0.3408456544279691
751.6808678946296,0,0,-0.43948238063913
753.9057417781913,0,0,-13.343989762093866
757.8252661901523,0,0,-23.507891396413036
760.3625003131291,0,0,-15.21741363013222
761.843830272743,0,0,-8.884481930152196
762.5878812814917,0,0,-4.462549143380453
765.0010273815392,0,0,-14.473178498513754
765.2522169319592,0,0,-1.5065441748921398
761.3637982651853,0,0,23.321330374511543
758.4807069752375,0,0,17.291739968046176
755.0396479745062,0,0,20.638228717490726
749.476879150343,0,0,33.36347771753127
743.810452432516,0,0,33.98518031471276
736.2589651494008,0,0,45.29109255988806
726.6450750389173,0,0,57.6606396236788
716.9614810894288,0,0,58.07869806777019
707.4891014550597,0,0,56.81191091215524
698.8397551076196,0,0,51.875654598578095
692.4586098885349,0,0,38.271803675266064
687.4275639801425,0,0,30.174395766981235
683.1516006802672,0,0,25.64568307363252
679.2333910846925,0,0,23.50000560273843
675.9714977345291,0,0,19.56365787347119
674.1064136701685,0,0,11.186100409623963
672.70980062089,0,0,8.376380508069909
672.1639251661637,0,0,3.273963766244678
673.2746310060309,0,0,-6.661612357172439
672.575001245229,0,0,4.196126546485573
670.2118094893335,0,0,14.173570389550425
666.2236173849608,0,0,23.919735407571977
661.973844043772,0,0,25.488605163210018
656.7943228501011,0,0,31.064896887660144
650.0174748219466,0,0,40.645086166499354
642.9698422346024,0,0,42.26915412480345
635.3772509683677,0,0,45.53761940079409
628.1840169816589,0,0,43.142418716033404
621.9170480568861,0,0,37.587015511034444
618.0997829102535,0,0,22.894577266698604
615.0428666048839,0,0,18.334279611897685
612.4530891127827,0,0,15.532549775530425
611.2868888219514,0,0,6.994448025292709
610.4013542162523,0,0,5.31111664338973
608.154582160988,0,0,13.475327084702581
605.630378847277,0,0,15.13925954386247
601.898219521604,0,0,22.38414329919594
597.5906377503323,0,0,25.83531924210156
593.3619887579804,0,0,25.36190895058793
589.5186397242165,0,0,23.05101899825304
586.8862867333281,0,0,15.787902235788879
584.1233072902027,0,0,16.571352504223537
581.2959558099471,0,0,16.9574327269162
579.1920447382868,0,0,12.618498517160232
577.6876678280461,0,0,9.022709213722226
576.8944225976142,0,0,4.7575983123898
575.8895944674456,0,0,6.026596105379333
574.3808932139976,0,0,9.048645062001889
571.7514708112187,0,0,15.770325627056534
568.596578591674,0,0,18.921903748863514
564.6540889831659,0,0,23.64562834854873
559.217990647582,0,0,32.60375388992465
553.0681799092436,0,0,36.8843430351352
546.7943267003234,0,0,37.628304960229606
540.8349932876638,0,0,35.74192885042587
535.4559497178594,0,0,32.26156001724461
531.250013839359,0,0,25.225683899388713
527.8687645894438,0,0,20.279511439869122
524.9251271224244,0,0,17.654874064295555
522.1555808752348,0,0,16.610737822577672
519.6237156700766,0,0,15.185212800712517
517.3770020116652,0,0,13.474976841475746
515.9938074536578,0,0,8.295901245191983
514.1723725691138,0,0,10.92430839844591
512.8300437779225,0,0,8.050803139612729
512.6031441637258,0,0,1.3608619127734052
511.8179189151456,0,0,4.709497358662938
510.27797602676594,0,0,9.236021101497734
507.9083615035479,0,0,14.212091827565146
504.55360835801963,0,0,20.12059737813882
500.2623684358099,0,0,25.73730673533115
495.07866262596,0,0,31.089994703704054
488.7346689211361,0,0,38.04898231464631
480.17154574276015,0,0,51.35851918081458
470.31316284046545,0,0,59.12701905980761
459.78152521414756,0,0,63.164957664338694
449.8515758972507,0,0,59.55624855942859
441.4220277275938,0,0,50.55738453584083
434.0348579925506,0,0,44.30557527038889
426.19089931697863,0,0,47.04523030921559
419.0845027984442,0,0,42.62159895413807
413.3344435137391,0,0,34.48677823648406
408.6043589558056,0,0,28.36933831676751
404.17895455354716,0,0,26.541976816378817
400.26300521830285,0,0,23.486449377852512
397.5016074196497,0,0,16.561866372087366
394.3878476631201,0,0,18.67520609583272
391.7410861740731,0,0,15.87431920231281
389.50024363180654,0,0,13.439764007926795
386.1448447062414,0,0,20.124470533495934
383.4008304486054,0,0,16.45760617330663
381.2612467317634,0,0,12.832450155321714
378.6721946892554,0,0,15.52819879095708
375.61274136951334,0,0,18.349495707543717
370.5217325939667,0,0,30.534031381082567
363.7358990307971,0,0,40.69897815926988
356.3392494266892,0,0,44.36243210019846
349.4398782938957,0,0,41.37993548357869
343.02655169758026,0,0,38.46481594956589
336.9310296445625,0,0,36.55873911373108
331.65774314994576,0,0,31.627267287665934
326.6209165586077,0,0,30.20906621487296
321.5927527529696,0,0,30.157109955893134
316.65502086208016,0,0,29.614732002028745
312.37884624516477,0,0,25.646950476895185
308.04808437549417,0,0,25.97434509790629
303.05654871213665,0,0,29.937427591329662
297.6736945419956,0,0,32.28441462138911
292.77102078602957,0,0,29.404465974388884
287.1853875052849,0,0,33.50061046774846
282.53889556805285,0,0,27.867979977731732
278.1180740723856,0,0,26.51449019833498
274.06159464461797,0,0,24.329298102785685
269.7279254524105,0,0,25.991782168139316
264.3066434279063,0,0,32.51489100883271
257.37162491933645,0,0,41.593735564976136
249.92016824781413,0,0,44.69114509012208
241.70456197387713,0,0,49.27423833719003
232.7516562083168,0,0,53.69629432000765
223.45922005312275,0,0,55.732674933159146
215.36838834039528,0,0,48.52588559699589
207.2809127033352,0,0,48.505757067609544
199.9236420350546,0.16673228346456692,1,44.12625146973484
193.27865807478693,0.33346456692913384,1,39.85421312651682
186.60295938024078,0.5001968503937008,1,40.03842900625086
180.02491909167753,0.6669291338582677,1,39.45270916871462
173.58164010179289,0.8336614173228346,1,38.6444595851405
166.26703602941038,1.0003937007874015,1,43.87035264191634
158.2544401926335,1.1671259842519683,1,48.05665507771731
150.3998152274791,1.3338582677165354,1,47.109202860666215
142.124219007513,1.5005905511811024,1,49.63403636059954
133.9885937162345,1.6673228346456694,1,48.79454129834095
127.06694989649968,1.8340551181102365,1,41.51351901328562
120.40895796976494,2.0007874015748035,1,39.93223020993208
115.30828695105352,2.1675196850393705,1,30.59198202485718
111.22661245904085,2.3342519685039376,1,24.48040899577845
107.13930605841581,2.5009842519685046,1,24.514187148967174
103.74845425481358,2.6677165354330716,1,20.337104087720586
101.30232984039077,2.8344488188976387,1,14.670970513893606
99.54675578099025,3.0011811023622057,1,10.529298963110532
98.43085513143714,3.1679133858267727,1,6.692768948913586
98.0854165295133,3.3346456692913398,1,2.0718159359777277
98.10497595798097,3.501377952755907,1,-0.11731038561485106
98.08754248808788,3.668110236220474,1,0.10455965414038665
