d_t,tau_t,n_t,v_t
748.3103197599551,0,0,0
745.6669716519114,0,0,15.853812396323892
739.2963655945077,0,0,38.2085102516855
727.0577994854037,0,0,73.40233793018608
715.3530315806385,0,0,70.20081613162743
722.0387916952765,0,0,-40.098686306867336
719.0603529193041,0,0,17.863560779041045
710.2204189639713,0,0,53.01861457341707
697.3300191305486,0,0,77.31179259016757
680.1975951977655,0,0,102.75386510694938
659.7210431479934,0,0,122.81069365506349
635.2989315758232,0,0,146.4746826227987
607.5735515120468,0,0,166.2864504339511
578.2895537274154,0,0,175.63445604427142
550.3931477999081,0,0,167.31219953988955
523.8100536218036,0,0,159.4354473143457
498.2384440364677,0,0,153.3689413832019
471.82185196284456,0,0,158.43683002288563
442.06051659621664,0,0,178.49734816644747
410.6306631361467,0,0,188.50449506957645
376.6651041200226,0,0,203.71270773580426
341.9083814536733,0,0,208.45781113224757
306.3944965019872,0,0,212.99898707073797
273.0414666477881,0,0,200.03898712712348
241.36713351651483,0,0,189.9707926147915
214.57965306241837,0,0,160.66127968432363
195.36489335546227,0.16673264713644761,1,115.24293554358
182.13373808540692,0.33346529427289523,1,79.35551613492636
175.7923744132946,0.5001979414093428,1,38.03312537179832
175.75390624821225,0.6669305885457905,1,0.23071765333917263
177.89489563690427,0.8336632356822381,1,-12.84085285912792
179.33261988834812,1.0003958828186856,1,-8.622931838101719
178.43096483287243,1.1671285299551333,1,5.407789481911159
176.02648176186293,1.333861177091581,1,14.421189324978279
173.3358747349063,1.5005938242280286,1,16.13725370025906
169.82524413544922,1.6673264713644762,1,21.05544810659731
165.34675992894927,1.8340591185009238,1,26.86027171892099
161.51669593480526,2.0007917656373713,1,22.97129002581981
158.29685228397574,2.167524412773819,1,19.311416846842963
160.65033075112177,2.3342570599102666,1,-14.115282804932836
175.34699250203414,2.500989707046714,1,-88.14507538457771
188.16759074272903,2.667722354183162,1,-76.89314876769758
217.45038743971662,0,1,-175.6272523702192
327.6790902323006,0,1,-661.1104944694906
418.2983473426054,0,1,-543.5003801993586
484.0152285103698,0,1,-394.1452516733825
530.7256271956554,0,1,-280.1514849521918
563.6505422136316,0,1,-197.47131460722105
586.944456454736,0,1,-139.70817737957196
603.7026258592815,0,1,-100.50922655136175
615.9560036037865,0,1,-73.49117257448253
624.8159019888568,0,1,-53.13835374915941
631.4156573953535,0,1,-39.58286226389542
636.6987121787167,0,1,-31.68578484236378
640.9700278272473,0,1,-25.61775226320935
644.6217941116284,0,1,-21.901927109647765
