d_t,tau_t,n_t,v_t
720.1043689612712,0,0,0
720.1907319625757,0,0,-0.517985209361668
717.3743912824709,0,0,16.89175682622673
715.273178096374,0,0,12.602588326881987
715.1467232539055,0,0,0.7584467545297587
693.4477034265276,0,0,130.1456776450448
681.8158621279337,0,0,69.76508063996067
674.961927847962,0,0,41.10830482195583
667.2678903910826,0,0,46.14704842052442
655.198645195021,0,0,72.38852755569138
637.8485258387944,0,0,104.06198338919933
619.8121241933538,0,0,108.17814505438517
599.7577572178867,0,0,120.28143208899795
578.1396011981356,0,0,129.66067532124094
557.5013862762322,0,0,123.78321637396074
535.1253745990642,0,0,134.20611741384639
512.9067832078164,0,0,133.2619471264723
489.551043942078,0,0,140.08229578210424
466.45654047972585,0,0,138.5154641497397
443.99340107408557,0,0,134.72868927902314
422.7470644238639,0,0,127.43058916094756
404.1758065036793,0,0,111.38608867916723
389.25382686083566,0,0,89.49856573582036
377.08446874330605,0,0,72.98898159044177
367.5361960723366,0,0,57.26832027385357
359.1239375491423,0,0,50.45477144756023
351.6880869990526,0,0,44.598503361321804
347.6405532962047,0,0,24.276166423133294
347.474227418509,0,0,0.9975839570092182
350.66841587532105,0,0,-19.157999971652206
358.0572521765165,0,0,-44.31652282349152
369.44415037297534,0,0,-68.29596884295543
384.8661919029136,0,0,-92.49782071038257
401.632014105168,0,0,-100.55750486184091
419.59018669867436,0,0,-107.70894538285577
439.1541270059628,0,0,-117.33996691807862
460.27616538489036,0,0,-126.68507701909188
480.5102339519794,0,0,-121.35924046935696
499.21466581880725,0,0,-112.18483505888568
518.9371180788712,0,0,-118.2906847695266
539.2285646553258,0,0,-121.70338043375243
557.4831368177147,0,0,-109.48668110791577
575.9370193751585,0,0,-110.6820985337939
596.1774170397076,0,0,-121.39720092491596
616.0890018844107,0,0,-119.4250580540542
632.0681225060378,0,0,-95.83905162617958
645.4834166248762,0,0,-80.46181614622695
656.8232701355752,0,0,-68.01380575187915
664.6844190297153,0,0,-47.149343981224845
669.3546648928271,0,0,-28.011049229826302
669.6829107258878,0,0,-1.9687422159016539
663.9956807443784,0,0,34.110683604836254
652.5815290201256,0,0,68.45942916840733
639.2246610230718,0,0,80.11138984714377
625.5650140719542,0,0,81.92738764182629
611.6551959624069,0,0,83.42785610538388
597.1023811658063,0,0,87.28440078923548
582.1036447355795,0,0,89.95893510675538
565.5990281746471,0,0,98.99085413452688
546.5319743762772,0,0,114.35975712379613
526.6858124512047,0,0,119.03266658768501
506.6092421805189,0,0,120.41460229323644
486.75030879300954,0,0,119.10926685104207
467.90355304739603,0,0,113.0384606049695
450.07511701262683,0,0,106.93081565688183
433.41725743907307,0,0,99.90997010753566
417.01905493293333,0,0,98.35260736660271
401.93815521643177,0,0,90.4517314014654
389.1144277260125,0,0,76.91373700070403
378.1161472227277,0,0,65.96513024170305
369.1604156102454,0,0,53.71439672325972
362.3034411726328,0,0,41.12653898089375
358.72889622580345,0,0,21.439289796436473
359.84394100065765,0,0,-6.687779401209103
366.013855335368,0,0,-37.00571216998554
375.91518017509264,0,0,-59.3858451257699
388.8860707599182,0,0,-77.79638703735132
403.9479832472413,0,0,-90.33785041385914
420.53357909375234,0,0,-99.47654906824661
438.95585239464856,0,0,-110.49251355963553
459.39120278905096,0,0,-122.56648208772171
480.19548951537155,0,0,-124.77927645849725
499.6543633057758,0,0,-116.7098023693352
518.2911913586436,0,0,-111.77936309521087
537.913660275042,0,0,-117.69100791231925
558.7159927243707,0,0,-124.76755515931224
579.4292792450221,0,0,-124.23347837513366
599.4085467275534,0,0,-119.83100278496953
622.4831736397792,0,0,-138.39624922178388
647.4453279637428,0,0,-149.71719993884125
670.1754279811545,0,0,-136.32985698152422
688.9513582197537,0,0,-112.61366567514068
706.1936324869154,0,0,-103.41515361031087
720.3227977542547,0,0,-84.74344937722056
730.8571260841798,0,0,-63.18245293751414
738.298414538128,0,0,-44.63111864478934
743.809740086824,0,0,-33.055649700476366
746.7185908044246,0,0,-17.446610529971842
745.8461195102453,0,0,5.232880042975215
740.9107318018022,0,0,29.60130839393664
731.0584454227227,0,0,59.09172383632444
716.57940801117,0,0,86.84190118103521
701.438046601792,0,0,90.81436658284984
686.726517368185,0,0,88.23633309403907
671.088704702591,0,0,93.79196583258394
653.519924027083,0,0,105.37346316105278
635.6853872126578,0,0,106.96740671531707
617.0921447079556,0,0,111.51794710745344
596.9680859473887,0,0,120.6994272182834
577.7282059523681,0,0,115.39632848309515
557.3381547626046,0,0,122.29478798672444
536.3603235836647,0,0,125.8201557501594
514.2128763319463,0,0,132.83524111287386
491.4081946318352,0,0,136.7771805801031
469.34406319813576,0,0,132.33553220063322
447.28933937470845,0,0,132.27910754073477
425.9460907267095,0,0,128.01184479935876
406.22664145239185,0,0,118.2726735589732
388.3348637108543,0,0,107.31072449221836
372.6594533212618,0,0,94.01746824267532
360.58989573008716,0,0,72.39040122897264
351.7211988181913,0,0,53.19238281772104
347.49976888067374,0,0,25.31915562177208
348.618770691922,0,0,-6.7115127858075425
352.8750097125684,0,0,-25.52793241206235
361.3874792527099,0,0,-51.05581383619546
373.2358166916632,0,0,-71.06357417186926
387.932554939368,0,0,-88.1476201983137
404.67586184717254,0,0,-100.42246335872844
423.524034769988,0,0,-113.04696050444704
445.68089500684397,0,0,-132.89169800996572
470.19432866052193,0,0,-147.0258776499896
495.3573880106007,0,0,-150.9221815911954
519.3315608630157,0,0,-143.79151669884556
544.587000821357,0,0,-151.47625900848135
570.5199595558404,0,0,-155.53985915907413
595.1737771917204,0,0,-147.86786814723538
618.8856075344884,0,0,-142.21804729954823
646.5519314624835,0,0,-165.93618072154823
677.2350891566804,0,0,-184.030448479643
704.2972342967743,0,0,-162.31245677476625
727.1873604727649,0,0,-137.28965668744976
746.0828619126728,0,0,-113.33082594988781
760.815055246084,0,0,-88.36027156192024
772.2910369330427,0,0,-68.83027091421641
781.2373738488462,0,0,-53.658049516092916
785.183879514231,0,0,-23.67022373533495
784.7876413681678,0,0,2.376544306537956
780.475146623438,0,0,25.86534117017618
770.1380485930047,0,0,61.99951144136892
754.4792065886168,0,0,93.91809491903746
