d_t,tau_t,n_t,v_t
824.8670705853899,0,0,0
814.617525989282,0,0,61.473191914018294
772.98385983768,0,0,249.70420153042204
747.0278302508567,0,0,155.67520811828263
728.6713056926352,0,0,110.0960288001906
718.9917954007914,0,0,58.05432507022606
721.0190519370361,0,0,-12.158777294246207
717.5875096339424,0,0,20.58119329899336
710.138769764148,0,0,44.67494250499157
698.7789811790383,0,0,68.13204794096886
685.1508761212613,0,0,81.73661861613361
670.7970318532934,0,0,86.08934915252523
658.4835616942212,0,0,73.85189723488992
650.3287354512638,0,0,48.90980218273793
647.4245512492608,0,0,17.418283429995608
651.1636580124065,0,0,-22.42585760592106
662.4688015201336,0,0,-67.8043058352004
681.2553198995624,0,0,-112.67498169366405
700.8924549135045,0,0,-117.77668344522723
720.9646791295387,0,0,-120.38619665521762
742.565987977185,0,0,-129.55711270231325
764.2957766633614,0,0,-130.32768994084097
785.1948437129562,0,0,-125.34531144452268
807.8091054761743,0,0,-135.63245082050167
832.311235321668,0,0,-146.9552248073722
857.8738644969264,0,0,-153.31572972659217
883.3488455297073,0,0,-152.7900467527873
906.7043918846447,0,0,-140.07841713074788
925.3643365545901,0,0,-111.9158367520149
936.4814656227888,0,0,-66.67666083445333
941.4072668315139,0,0,-29.54323679407576
941.9247769739565,0,0,-3.1038452494663624
940.4986248438418,0,0,8.553562821358694
938.0701452966866,0,0,14.565172907118537
936.3896853490959,0,0,10.078812369994882
937.7338393634259,0,0,-8.061766736083372
938.3213548963877,0,0,-3.5237131534547554
932.5099869670154,0,0,34.85455696645579
921.2645292389374,0,0,67.44633135618756
904.8998751380134,0,0,98.14948485951538
885.7586074369893,0,0,114.80264433499482
864.6354474077572,0,0,126.68934293925491
842.193311769221,0,0,134.6000983879838
820.5452893996196,0,0,129.8372841063399
799.7654325426669,0,0,124.63033030739236
780.2371620581614,0,0,117.12375198588953
760.673535629598,0,0,117.3358046009104
740.6788490910911,0,0,119.92115272214187
720.2525350051789,0,0,122.50990413526407
697.5100360410999,0,0,136.40157280295853
674.666296485384,0,0,137.0087785437427
654.1964958279963,0,0,122.77072141635657
634.853819503541,0,0,116.01062297689741
613.6443009755048,0,0,127.20729108032639
592.1963486310872,0,0,128.63733390962238
574.3981318723021,0,0,106.74749344039707
562.1986286321445,0,0,73.16836342393873
556.7163156291781,0,0,32.88100034142452
557.9469928595553,0,0,-7.381172583601109
562.9193739978094,0,0,-29.822606957348395
571.5911285361506,0,0,-52.01015771658078
582.7245244831748,0,0,-66.77422389732943
596.9121518137734,0,0,-85.09243796350155
613.4853671190085,0,0,-99.40036218564579
630.4455578543711,0,0,-101.721305780669
648.339721676056,0,0,-107.32295044299048
669.3848694758603,0,0,-126.22145280947508
691.7401909409745,0,0,-134.07941726956085
713.0502537407999,0,0,-127.8103205376456
732.7324358413307,0,0,-118.04686015142826
750.1591227193198,0,0,-104.51918686054822
765.6519813983888,0,0,-92.9207601318033
777.3196002059883,0,0,-69.97830619826101
785.1569512263344,0,0,-47.0056965803349
786.703555577191,0,0,-9.275993209626506
780.98997692546,0,0,34.268051002682164
768.5918185648616,0,0,74.35982751573871
753.9468496306031,0,0,87.83541331313063
738.951227592919,0,0,89.93850826725277
724.0973113589607,0,0,89.08860630467504
708.0518836277846,0,0,96.23487648764902
689.7410616343119,0,0,109.82192076471425
669.2517333845436,0,0,122.88784110131151
648.6222582432168,0,0,123.72839325269209
627.7812517675335,0,0,124.99708438240982
607.9068277244946,0,0,119.19986023986245
590.1884132973523,0,0,106.26886690218718
575.9987173100654,0,0,85.10484504446106
566.660018220955,0,0,56.01025840212948
560.8501283087904,0,0,34.845692334996926
557.5116314108926,0,0,20.023139426775867
555.1909413655368,0,0,13.918689088418901
554.5556456469386,0,0,3.810282034030014
555.1872031338144,0,0,-3.7878614246130033
557.4283744900783,0,0,-13.441763739252558
563.3694231019564,0,0,-35.63233644811627
573.7597335321649,0,0,-62.31745626678621
589.0396035436454,0,0,-91.64332842589643
