d_t,tau_t,n_t,v_t
729.9633812430969,0,0,0
732.2533718688156,0,0,-13.734655383152578
735.501454141373,0,0,-19.48099270306005
737.5222709564479,0,0,-12.120234133632323
738.3433611373246,0,0,-4.924644907353048
738.5476993177746,0,0,-1.2255571959909244
737.6835101027208,0,0,5.1831395820127995
741.034336316129,0,0,-20.097219077284453
743.0542534189714,0,0,-12.114837937979937
741.2374606690001,0,0,10.896560904319653
739.9459182470908,0,0,7.746271918505871
739.3178559407183,0,0,3.766923427674282
739.7162873315912,0,0,-2.3896682309565462
742.6463245037421,0,0,-17.573456575478374
744.9874636975776,0,0,-14.041428672325015
745.5783172447921,0,0,-3.5437568004703266
745.5954070605011,0,0,-0.1024994280277534
745.7270322777441,0,0,-0.7894473358371012
746.8677304879778,0,0,-6.841554999301393
749.7788836412858,0,0,-17.46019607207526
751.8596404363351,0,0,-12.479735591575151
752.6733592415103,0,0,-4.880433676170381
752.4203909097636,0,0,1.5172258001282883
752.588849591331,0,0,-1.0103630607235854
752.2898838793249,0,0,1.793103858010339
751.2873532730157,0,0,6.0128684519823885
749.2130224656331,0,0,12.441194505377018
746.9841506079018,0,0,13.368083919356097
744.6121002686657,0,0,14.226824160327515
742.013556903567,0,0,15.585259265682714
739.5317224207449,0,0,14.88527549272702
737.6488194770375,0,0,11.293069395700698
735.9245600549933,0,0,10.341574627842775
734.4456183207665,0,0,8.870235023338916
732.7242270918244,0,0,10.324372092868318
731.3695331480518,0,0,8.125035211234405
730.1587797176863,0,0,7.261724538641013
731.1990555943798,0,0,-6.2392529075563266
731.4242947343256,0,0,-1.3509146855052026
731.1952076951997,0,0,1.3739931944717592
731.4024418218025,0,0,-1.2429261851785682
731.507880785261,0,0,-0.6323902861412681
731.7920893759127,0,0,-1.7045952091212175
732.2830404269813,0,0,-2.9445725326090315
731.4627525076093,0,0,4.9198331910212305
732.2778275755003,0,0,-4.888568120391133
731.1188709593623,0,0,6.951063269826241
729.8903847725807,0,0,7.368080126141891
728.4607136423081,0,0,8.574725182280458
725.8608130889766,0,0,15.593399260867704
725.1037435383885,0,0,4.540668971141381
726.6355720306311,0,0,-9.187433437830789
729.6031003044319,0,0,-17.798316605607805
732.3496612151092,0,0,-16.473022716043424
731.615641611087,0,0,4.402422521952335
724.7975972731755,0,0,40.892520832428936
712.9922886360769,0,0,70.80458932945056
697.528601531677,0,0,92.74641168680547
673.8801341784643,0,0,141.8361917242229
642.7258362232917,0,0,186.85384180734764
604.8764881813396,0,0,227.0086811687544
561.4823132546506,0,0,260.2648375764684
517.2859569010852,0,0,265.0760736265968
474.7568765506062,0,0,255.0762679183072
432.5252170808092,0,0,253.2924294806979
389.9051029398152,0,0,255.62226043325603
348.62424575975353,0,0,247.58981146979312
309.5704116806068,0,0,234.2328158219236
269.49037608021666,0,0,240.38765509927734
231.36003390389143,0,0,228.69399706348247
196.47619937378406,0.16673083975064174,1,209.2224484821088
165.09349951470503,0.33346167950128347,1,188.22372577271346
136.43408818734568,0.5001925192519252,1,171.89028358653752
110.9411802910332,0.6669233590025669,1,152.8985755391084
89.6696511638944,0.8336541987532087,1,127.5800515306703
74.7687362908258,1.0003850385038504,1,89.37107793227706
64.80690500639113,1.1671158782544921,1,59.747982432843976
62.673753918118926,1.3338467180051339,1,12.793980354579224
62.548390782552325,1.5005775577557756,1,0.751889307065756
63.3504110407915,1.6673083975064174,1,-4.810269410498113
68.75812434433705,1.834039237257059,1,-32.433791562695795
80.10408215237578,2.000770077007701,1,-68.04954515317891
97.69481056409319,2.1675009167583426,1,-105.50374746522982
122.03122938176297,2.3342317565089843,1,-145.96231179586627
149.95715291934417,2.500962596259626,1,-167.4910507219089
178.9696413038398,2.6676934360102678,1,-174.00793055373532
210.9362973347549,0,1,-191.72611424931094
246.23469074797615,0,1,-211.7088444226191
283.5723229588491,0,1,-223.9395679090571
322.561575453044,0,1,-233.84547545316863
365.265757011975,0,1,-256.1264708004725
407.7668907905423,0,1,-254.90865302502448
451.8407831749699,0,1,-264.34157262293746
497.7097879471695,0,1,-275.10810142142924
542.3207341667324,0,1,-267.56265539285897
584.2966215582774,0,1,-251.7583876763468
622.3632524111159,0,1,-228.31187625378732
658.1784457556295,0,1,-214.8084505426699
692.8037435652731,0,1,-207.67182520899124
722.3050404497234,0,1,-176.93965272754386
743.0908019036818,0,1,-124.66656729519923
754.9564406533541,0,1,-71.16643068203936
759.1758146259593,0,1,-25.306499858788122
758.8009069680355,0,1,2.24858015760321
755.7403489555581,0,1,18.35628020019969
752.3406133862262,0,1,20.39056226440467
749.3405502672756,0,1,17.993450542427677
746.030790169858,0,1,19.850917217040006
743.4100359005324,0,1,15.71847339847362
741.7690509514812,0,1,9.842120099109788
741.0999284854048,0,1,4.01318956395287
740.9556397715975,0,1,0.8653990708804793
741.3212289709236,0,1,-2.1926909255232863
741.8620277208688,0,1,-3.2435436104923907
742.274237354211,0,1,-2.472305867100905
742.5513285445655,0,1,-1.6619072438486135
742.6883368107899,0,1,-0.8217331984249363
742.3321124960759,0,1,2.136523244570713
741.6032843033446,0,1,4.371286042949746
741.2922485777325,0,1,1.8654960658584665
741.1391893179497,0,1,0.9180020925446856
740.4386672157987,0,1,4.20151486790743
740.1074176836665,0,1,1.986732224389486
740.1616280973996,0,1,-0.3251372920216363
741.2013074453729,0,1,-6.235675112824061
742.4269620397497,0,1,-7.351097110827624
743.3727291829365,0,1,-5.67241875948843
744.5653807050683,0,1,-7.153154892732903
744.5342155910491,0,1,0.18691871321311226
746.0376548904809,0,1,-9.017163841316133
747.7931937757395,0,1,-10.529179172156391
748.7503225543152,0,1,-5.740562333921764
749.1590596825833,0,1,-2.4514788558581486
749.3333096092647,0,1,-1.0450971574421668
749.3654927563441,0,1,-0.19302456058851822
750.1940540602591,0,1,-4.969454392205672
752.1974817775829,0,1,-12.015939704496638
756.1996966774867,0,1,-24.004046917111683
761.9814848737122,0,1,-34.677377051975654
770.0420629657755,0,1,-48.34485392215629
777.7979980497298,0,1,-46.51769939834715
783.1648691731385,0,1,-32.18883280043011
779.5238099837607,0,1,21.837946685948097
763.1205757894904,0,1,98.38152449062497
737.8920945707889,0,1,151.31262612503224
705.1915107299156,0,1,196.12798621886267
668.6954808922516,0,1,218.89189721737495
628.8133594016912,0,1,239.2006274916329
583.4559933673489,0,1,272.0394505430281
538.2736976720598,0,1,270.98943280596774
494.9816937908846,0,1,259.652047251256
452.3147159678724,0,1,255.9033343011035
409.74179812047953,0,1,255.33919166402464
368.8039065631196,0,1,245.53280975844402
328.8472771065432,0,1,239.64750322336593
288.5897824176448,0,1,241.4519998166291
248.1443717041495,0,1,242.5790620018732
211.86796128042323,0,1,217.57468791004905
178.73461005172743,0.16673083975064174,2,198.72359113796327
147.8371847130767,0.33346167950128347,2,185.31319931489637
120.96438616939706,0.5001925192519252,2,161.17473278410822
99.36497946994005,0.6669233590025669,2,129.54655978318416
83.87443994249983,0.8336541987532087,2,92.90746421362397
73.89725823080543,1.0003850385038504,2,59.840049547018474
67.75084388260004,1.1671158782544921,2,36.86429191742699
64.82122140011198,1.3338467180051339,2,17.570969395161228
64.48120418548467,1.5005775577557756,2,2.0393180717846207
70.33265635633701,1.6673083975064174,2,-35.09520002180532
82.54416912607601,1.834039237257059,2,-73.24087606109475
101.06809891252227,2.000770077007701,2,-111.1008006326254
124.52840203023078,2.1675009167583426,2,-140.70764084673908
154.359171050717,2.3342317565089843,2,-178.91572467997128
185.89934610064552,2.500962596259626,2,-189.16821325376375
219.96116001109172,0,2,-204.2922230907501
258.09675409155244,0,2,-228.72549635985348
296.86366115940194,0,2,-232.5119163666918
337.979242561693,0,2,-246.59853848143783
382.68611010374326,0,2,-268.1379618126596
429.53022155432257,0,2,-280.9564896370589
478.0982514406047,0,2,-291.2960191343078
529.0559918954751,0,2,-305.6287638872417
578.7370813735988,0,2,-297.97180625027386
625.086818597935,0,2,-277.99138595868436
667.2985123922689,0,2,-253.17268153548906
705.740932804397,0,2,-230.56574578297293
739.2203684090434,0,2,-200.79929816653865
764.6084572647801,0,2,-152.26990335864934
782.1728026054403,0,2,-105.34550996641651
790.4204800794648,0,2,-49.46701813749339
791.1143690393975,0,2,-4.161731332790266
787.8238216862036,0,2,19.735685120492235
783.3238308448462,0,2,26.989553031025924
778.2147384984524,0,2,30.642755437654685
773.7436147516806,0,2,26.816417127501452
769.9623428641395,0,2,22.678899075877762
767.0550606903396,0,2,17.4369791344418
765.0699687882448,0,2,11.905967156788078
763.7648969566294,0,2,7.827417132710313
762.47702717642,0,2,7.724244549691303
762.3992755857475,0,2,0.46632998903375605
761.8937120910055,0,2,3.0322134495225885
760.7237670085001,0,2,7.0169686919054906
759.2266412681362,0,2,8.979297067075143
757.5975987895506,0,2,9.770492855562463
755.6468891002029,0,2,11.699753280587734
753.8180066154924,0,2,10.969071393424734
750.9707523668559,0,2,17.07695020846068
748.5405753643663,0,2,14.57544990551295
746.6088556040229,0,2,11.58585756079944
745.6794568344005,0,2,5.574246318271719
744.379259839782,0,2,7.798179368394509
742.9755288827972,0,2,8.41914404728089
741.7153650658291,0,2,7.558072752783805
740.0188055825756,0,2,10.175438963726439
739.6462797745133,0,2,2.2342945589395327
739.6305236974187,0,2,0.09450007640012688
740.4337247455785,0,2,-4.8173514231745935
740.3222652520545,0,2,0.6684995630722094
740.0478495930838,0,2,1.6458602342621997
740.2531390036489,0,2,-1.2312623799660596
740.3828071945125,0,2,-0.7777096970029946
740.3568202523588,0,2,0.15586164018898774
740.2669103684456,0,2,0.5392516708230564
740.0882811026792,0,2,1.0713630785615709
739.734008939259,0,2,2.1248148449923567
739.6043314587027,0,2,0.7777654137060253
739.9447337412518,0,2,-2.0416275900613474
741.3897240797834,0,2,-8.666605054546084
744.1105775114089,0,2,-16.318837209089605
747.9058657152109,0,2,-22.762964604977228
752.5492012948957,0,2,-27.849290428988994
758.8990283177175,0,2,-38.08429821572519
765.8420286723823,0,2,-41.64196836679166
772.0356666608118,0,2,-37.147524703243434
781.8221386450705,0,2,-58.69623159635666
792.8694667572486,0,2,-66.25845661606567
802.3494498871304,0,2,-56.85800625762954
808.2844332493828,0,2,-35.596194268130695
805.6606410773192,0,2,15.736693799345819
790.5377722829307,0,2,90.7022888927194
769.1746493315063,0,2,128.12940295493357
740.4557405825643,0,2,172.24713071614852
706.174029093477,0,2,205.61110074391857
666.5736872304448,0,2,237.51060045194666
621.6848549396335,0,2,269.2293300864184
575.7342097009175,0,2,275.59775568478256
530.2222739298625,0,2,272.96651200894513
486.30446179938144,0,2,263.4054515419184
440.7989232436641,0,2,272.92814349027594
396.85888605037775,0,2,263.5387505934829
355.1409520681305,0,2,250.21126292316103
313.52214048518283,0,2,249.6167574348673
271.4262176995781,0,2,252.47832283794818
233.91105869418848,0,2,225.00431870610325
199.4370170964042,0.16673083975064174,3,206.76463724013365
167.96576403567457,0.33346167950128347,3,188.75484048300365
139.53789983950878,0.5001925192519252,3,170.50153552085357
115.20750524160269,0.6669233590025669,3,145.92618038926688
94.27578957225224,0.8336541987532087,3,125.54195552937523
