d_t,tau_t,n_t,v_t
436.8498664420671,0,0,0
628.1250817940971,0,0,-1147.2017616413177
760.6730596758961,0,0,-794.9763561794381
852.5140593562236,0,0,-550.8301555445261
916.3717144869142,0,0,-382.99585403883094
962.3649901716515,0,0,-275.8515618036414
806.3240402014418,0,0,935.878976084548
697.0154689326345,0,0,655.5945332032816
620.4166600260749,0,0,459.4128327368746
566.8533331974238,0,0,321.2540777126145
529.5323275064867,0,0,223.83832320392835
503.80148459284953,0,0,154.3245854655747
486.31454819607137,0,0,104.88052099783285
473.43934600765914,0,0,77.22095413590603
463.87828438805667,0,0,57.34389953754525
457.5673406030357,0,0,37.85083087984382
453.368131705888,0,0,25.185384501811733
450.6326166567905,0,0,16.406661352048935
449.2018160865055,0,0,8.581440788172237
448.58406358920854,0,0,3.7050631565261662
448.4377013079479,0,0,0.8778297104044813
448.31278025155433,0,0,0.7492327518600214
448.292030787633,0,0,0.12444801863041975
448.36855223110746,0,0,-0.4589488219666917
448.36921996632765,0,0,-0.00400484202567827
448.45760146860226,0,0,-0.5300813015389355
448.2823004733867,0,0,1.0513939830553456
448.1169884453502,0,0,0.9914836558147447
448.00572986808425,0,0,0.6672899863284579
447.71066879506503,0,0,1.769672992585265
447.3136556997871,0,0,2.381145520914939
446.6598993203451,0,0,3.921001833926942
445.9745753370589,0,0,4.110333267559041
445.49661939846004,0,0,2.8666123508915313
445.0389828501195,0,0,2.7447437634900953
445.2823455858415,0,0,-1.4596044690069947
445.7206811080574,0,0,-2.628982967555982
446.0339278616839,0,0,-1.8787443366738474
447.3456936641688,0,0,-7.867511934057493
448.11789449690315,0,0,-4.63139018833869
448.7688985029935,0,0,-3.9044940623798743
449.2064215911924,0,0,-2.624110272816741
449.50672533007395,0,0,-1.8011166665704414
449.5005957827658,0,0,0.03676287833230389
449.5571050912387,0,0,-0.3389230440021294
449.701922137431,0,0,-0.8685619315690813
449.59938713978187,0,0,0.6149690105770698
448.83053085230927,0,0,4.611330777038965
447.8683686772702,0,0,5.770711799529183
447.05561518565634,0,0,4.874610835719414
445.9249507058397,0,0,6.781329618077652
445.0078171036297,0,0,5.500646187637975
444.6605138596836,0,0,2.0830032398365437
443.98975961045363,0,0,4.022949104664755
443.7510978231765,0,0,1.4314098263953474
444.0204491130894,0,0,-1.6154747164693222
444.72183175672546,0,0,-4.2066474889758885
445.5796894518346,0,0,-5.145130053862612
446.3759431280012,0,0,-4.775650720510373
447.2871878979886,0,0,-5.465327034095854
448.3535010996101,0,0,-6.395373185753631
449.04031437896265,0,0,-4.119265543848726
449.4005748526312,0,0,-2.160716166397657
449.72006598158123,0,0,-1.9161959132324657
450.00318869716784,0,0,-1.6980709052339371
450.0921387573385,0,0,-0.5334913127038503
450.31097903048294,0,0,-1.3125273256513268
450.67382218599823,0,0,-2.1762061877203935
450.7604366277687,0,0,-0.5194830914176015
450.8172944970747,0,0,-0.3410135898214382
450.72228610579714,0,0,0.5698270611995413
450.66870165062153,0,0,0.3213807981390284
450.9766329058166,0,0,-1.8468638384436848
451.2080313675855,0,0,-1.3878469434411467
451.16198854336625,0,0,0.27614873656279576
451.06637993430286,0,0,0.5734269572967616
450.7888639440609,0,0,1.6644437299588652
450.3539555230396,0,0,2.6084284146800716
449.7400476887495,0,0,3.682004214120665
449.4111788093485,0,0,1.97244037657192
449.27255037876637,0,0,0.8314447822457368
448.4047936940206,0,0,5.204500727311802
447.5942948226616,0,0,4.861088412945262
447.28714246628317,0,0,1.8421922760933913
447.1904559885714,0,0,0.5798916360058165
447.05093660576324,0,0,0.8367884017071414
446.9039866784736,0,0,0.8813542055069271
446.7469084371917,0,0,0.942100286137322
446.7799325364131,0,0,-0.19806698287459487
446.8810828345535,0,0,-0.6066640678126716
447.1210306666242,0,0,-1.439123072724842
447.29658590428113,0,0,-1.052918840189026
447.21454047012327,0,0,0.4920797837153115
447.5351793831602,0,0,-1.9230799202590978
447.8476523660246,0,0,-1.8741035305991278
448.1338436954366,0,0,-1.7164753764029965
447.9623907559166,0,0,1.028314692491334
447.1436277552025,0,0,4.910653766915202
446.00448621022343,0,0,6.832172086454869
445.4741626511469,0,0,3.1806950006187593
446.0063973315518,0,0,-3.192157237116951
446.4411244679233,0,0,-2.6073411328322473
446.67383566455806,0,0,-1.3957202674779166
447.36848587273994,0,0,-4.166268698660792
447.93439454694834,0,0,-3.394122060117134
448.1327250887921,0,0,-1.1895171393307593
448.3451038904051,0,0,-1.2737736820596337
448.1801684177532,0,0,0.9892252084786406
447.8837404007276,0,0,1.7778714440640053
447.590416801811,0,0,1.759252231340159
447.52570331979575,0,0,0.38812880400207334
447.67172965731385,0,0,-0.8758148374763263
447.6974515381185,0,0,-0.15427083387429136
447.7544389527322,0,0,-0.34179055721290846
447.97206565419884,0,0,-1.3052487476919088
448.24429641585084,0,0,-1.6327447796378294
448.17092770891537,0,0,0.44003981221930943
448.26366921005507,0,0,-0.556231047963599
448.3301391836731,0,0,-0.39866362555403184
448.27885902004095,0,0,0.3075604643695993
448.05103674645227,0,0,1.3663982190324933
447.8901185374135,0,0,0.9651310680773265
447.0462324541024,0,0,5.061333218824942
446.2656675563897,0,0,4.6815549211815695
445.55617475689684,0,0,4.25528936382089
444.95131324508105,0,0,3.6277475397271
444.7484851984063,0,0,1.2164915983877942
