d_t,tau_t,n_t,v_t
961.8366317682011,0,0,0
964.0943882016992,0,0,-13.541258214336658
965.0500009359386,0,0,-5.731441441269326
964.6612253533326,0,0,2.3317442366179226
961.3026196960365,0,0,20.14377891733601
953.6976747684135,0,0,45.61188330275111
944.588484493241,0,0,54.63383729507085
933.5608608871498,0,0,66.13995049467317
919.6354965983205,0,0,83.51961742462139
903.5376511285747,0,0,96.54942356318607
886.0185603123725,0,0,105.07357166735994
868.4985743658539,0,0,105.07894035574965
849.06522990509,0,0,116.55461652417114
829.1246546407194,0,0,119.59681504656025
811.3313582412802,0,0,106.71816386133406
794.6601196962766,0,0,99.98844097674629
779.7804235946827,0,0,89.2433763328307
766.4544380276582,0,0,79.92474690638646
753.888545125198,0,0,75.3659686055128
739.1263380124249,0,0,88.53871718033793
722.1728624091481,0,0,101.68120323711557
705.2517995291853,0,0,101.48680270333297
686.9015902543842,0,0,110.05833861901549
666.2718816880657,0,0,123.73000312979295
645.9915082751371,0,0,121.63480922614032
625.3929564920724,0,0,123.54313529900845
604.1939936705031,0,0,127.14419730308407
581.4933826802929,0,0,136.15057429617158
556.6332314536867,0,0,149.1027650335846
532.1773184704153,0,0,146.6782809962932
508.7161800768916,0,0,140.71196001278398
486.9809991691088,0,0,130.36025172635266
465.26984471350363,0,0,130.21614920577795
445.3490268036019,0,0,119.47831712777491
428.2501451131524,0,0,102.55329968787903
413.84349958199635,0,0,86.40617926954363
404.3671270350607,0,0,56.83607216854982
400.12882992015835,0,0,25.419870261669175
401.1894342605666,0,0,-6.3611455264296435
406.51140121654686,0,0,-31.919354847076363
415.1841506752257,0,0,-52.016213133433375
425.4693844108385,0,0,-61.68734755544455
436.81667822935185,0,0,-68.05722413217258
449.6129204232109,0,0,-76.74752561850224
464.7213892291707,0,0,-90.61547751090637
480.2621191047246,0,0,-93.20803296663792
497.0040825615187,0,0,-100.41262503776032
516.9574029214856,0,0,-119.6732558122142
540.9392685043437,0,0,-143.83510528451575
563.9815074167744,0,0,-138.19954283829588
585.2561533357239,0,0,-127.59811888155039
605.9273765220566,0,0,-123.97899375647985
625.653216386208,0,0,-118.30890486325424
643.9094035096388,0,0,-109.49442560754878
662.8057175924752,0,0,-113.33369025038694
682.1501207053223,0,0,-116.02117645056367
702.0378579105338,0,0,-119.27991026799339
722.0896728662885,0,0,-120.2639930301404
744.473746754486,0,0,-134.2520919934854
769.0142289622606,0,0,-147.18549855483695
794.7950177519784,0,0,-154.62443724717923
821.489915446411,0,0,-160.1069527794632
850.2596126612109,0,0,-172.55089741025964
877.1261956102547,0,0,-161.1366627737707
902.3927902043647,0,0,-151.54047465859705
927.1709847208572,0,0,-148.61121645129185
951.381815783549,0,0,-145.2083626645398
975.6269227043408,0,0,-145.4139376495844
996.4587273823977,0,0,-124.94210714267898
1013.6870408335336,0,0,-103.32958754009718
1027.3187640760982,0,0,-81.75845790767657
1040.8933971832807,0,0,-81.41605061642503
1051.0579286974194,0,0,-60.96341652206313
1058.985253605412,0,0,-47.54540921039564
1064.6058343760199,0,0,-33.71033934400677
1067.619332836502,0,0,-18.073942864895603
1068.8310140818696,0,0,-7.267253621139996
1064.6548266987172,0,0,25.04735713192194
1057.797935026842,0,0,41.12531329729672
1045.5014235271087,0,0,73.75031021192166
1029.1195888544514,0,0,98.25269459351135
1008.5493902674253,0,0,123.37308243455203
985.3853906342054,0,0,138.92982239197468
960.4889187542491,0,0,149.3206040078108
935.6207227858466,0,0,149.15101466951242
911.3507293173035,0,0,145.56319873203054
888.836876585956,0,0,135.0304615287365
867.004999585003,0,0,130.94020213486817
846.1863912604873,0,0,124.8629598847475
825.8656080691364,0,0,121.8771733872523
807.1289116712446,0,0,112.37635745073666
790.4100413275357,0,0,100.27412036886857
775.5981602077335,0,0,88.8366450461352
760.0862493368563,0,0,93.03518633977517
744.6024117713953,0,0,92.86681216445257
730.5210235769961,0,0,84.45539595306867
714.6627087238401,0,0,95.11280007211413
697.2030640100843,0,0,104.71703408380182
678.9033113264107,0,0,109.7557170789169
661.0867598759423,0,0,106.85763977915308
643.0403376469174,0,0,108.2363268342232
623.8902053650082,0,0,114.85600582090065
603.819704953429,0,0,120.37606206399124
581.3552483840162,0,0,134.7342000836881
557.7534663617807,0,0,141.55549285110544
